Farm_ID,Soil_pH,Soil_Moisture,Temperature_C,Rainfall_mm,Crop_Type,Fertilizer_Usage_kg,Pesticide_Usage_kg,Crop_Yield_ton,Sustainability_Score,TOPSIS_Score
6160,6.284294772496882,30.14957055295799,34.42781632142706,108.0997674647538,Soybean,99.33147180457064,3.125928898118716,7.581716177912682,71.39015663255938,0.8015947107860684
6988,6.414398837761793,37.24393292080458,33.96449755976647,102.231022971593,Corn,187.1292946231224,8.122584401561639,8.336821390034455,72.416226888694,0.6602446351227865
3757,6.396234840818391,34.46672995400019,33.08130683773799,112.92375513772312,Rice,63.094906422414695,1.805402311136593,2.516352325550679,74.6088462651137,0.5869524384954903
8285,6.48085413441804,38.72411559899391,33.42014443479329,103.55355461850895,Rice,133.62396711530556,1.012834755145633,2.016218374792583,80.68695455034951,0.5546688496263216
6214,6.1724280758700285,29.090249464851524,33.24939915646894,98.09340113675536,Soybean,172.68129771614116,6.27960895976601,5.949472993461187,39.44689779438196,0.5334081268260297
7104,5.997228387647377,29.803287086510903,34.69638658493761,101.62140697873616,Rice,133.3492996648459,9.333717035460705,5.722332254224422,40.14984191129199,0.5081584221116339
2069,5.904109939815825,31.005427225462327,33.67901373598918,82.94422247259071,Wheat,179.62423089536645,9.523753459949669,1.9940891936630205,99.68839019321466,0.48533394424173215
1116,5.599844366278797,29.61748190201643,34.92019805093728,90.14644974171514,Rice,77.76621139746828,1.43756237646495,2.07061641864406,30.33087121160837,0.4753866459603353
6504,5.865737171700302,29.556606694234983,34.39651899863037,108.640772402567,Rice,178.32454316256815,11.543056515042402,2.709346194988296,83.92965931580136,0.44804689360879013
423,5.952795855021978,34.004643915906875,34.79047083662401,118.73021109437232,Rice,85.78239936555508,3.2381774862500805,1.0474341452374194,36.40945556349493,0.43336301705312635
8356,6.112942589576188,29.17500726453737,33.1296643136317,96.02393876853176,Corn,128.07001304953195,5.505139464430543,4.492149614819324,4.282503997826536,0.42514177493192257
81,6.361833196057908,29.529072366033017,34.48769092746163,109.52922879599652,Soybean,173.78272220391852,17.464824773162047,4.815931839017493,61.94324556817203,0.40231259070711944
1980,5.540739752848301,37.11045024303951,34.673206817329365,96.09122386899216,Corn,64.59795787219483,17.304598642414703,2.241250896814184,64.59468980122651,0.3857108289575025
8752,6.47708509050986,32.17502882906231,34.64886084481371,94.0357660941775,Soybean,120.9391108003083,13.043605580099683,1.5929940385846706,64.41245605512947,0.36520639967932905
1263,5.954011067240453,31.022309640432724,33.20319486129913,96.2675705259774,Soybean,106.01272533821997,15.669537385004457,3.998928501558303,42.52128297889889,0.364956202845957
3358,6.172617295492284,37.03166680150711,34.88257313593935,106.39095181983254,Soybean,173.65050001385384,11.682745497627977,4.178910808433709,23.08351209670668,0.3260707376137541
1795,6.4885400321158055,33.861910061023174,33.09945341088608,87.76809963163177,Corn,165.9441609108877,13.557910302534498,1.3191917743018842,61.15813666732197,0.31634219663910823
3104,5.625862472114016,36.08731546555112,34.9736975758788,97.34641579038164,Wheat,180.77166404797296,11.62968233442672,2.3526433902915898,37.92826042013407,0.2813840686142823
67,6.430205403025928,33.62868823970665,34.990516377975354,87.81992883439608,Soybean,150.85299657936076,17.76306212250612,1.9005743777881408,24.276414582574603,0.1533998541319493
